Domain,Classification,Company Name,Company Website
alternativagratis.com,ISP,Alternativa Communica,alternativagratis.com
altonaps.vic.edu.au,Education,Altona Primary School,altonaps.vic.edu.au
post.harvard.edu,Education,Harvard Alumni,alumni.harvard.edu
alumnidirector.com,Fake,ALUMNIDIRECTOR.COM,alumnidirector.com
webmail.arach.net.au,ISP,Amcom Telecommunications,amcom.com.au
sebil.com,Webmail,Amele,amele.co
america.hm,Webmail,America Home,america.hm
americamail.com,Fake,AMERICAMAIL.COM,americamail.com
amnet.net.au,ISP,Amnet Broadband,amnet.com.au
amorous.com,Fake,AMOROUS.COM,amorous.com
mail.ananzi.co.za,Webmail,Ananzi,ananzi.co.za
andersonuniversity.edu,Education,Anderson University,andersonuniversity.edu
mail.yandex.ru,Webmail,Yandex,andex.ru
angelfire.com,Paid,Angelfire's,angelfire.lycos.com
angelo.edu,Education,Angelo State University,angelo.edu
anonymous.to,Webmail,Anonymous,anonymous.to
adinet.com.uy,ISP,ANTEL,antel.com.uy
anu.edu.au,Education,Australian National University,anu.edu.au
aol.co.uk,ISP,AOL,aol.co.uk
adogperson.com,Webmail,AOL,aol.com
cs.com,Webmail,AOL,aol.com
in2autos.net,Webmail,AOL,aol.com
interestedinthejob.com,Webmail,AOL,aol.com
intomotors.com,Webmail,AOL,aol.com
iwatchrealitytv.com,Webmail,AOL,aol.com
majorgolfer.com,Webmail,AOL,aol.com
majorshopaholic.com,Webmail,AOL,aol.com
mcom.com,Webmail,AOL,aol.com
my.screenname.aol.com,Webmail,AOL,aol.com
mycapitalsmail.com,Webmail,AOL,aol.com
mycatiscool.com,Webmail,AOL,aol.com
myfantasyteamrules.com,Webmail,AOL,aol.com
realtravelfan.com,Webmail,AOL,aol.com
redskinscheer.com,Webmail,AOL,aol.com
redskinsfamily.com,Webmail,AOL,aol.com
redskinsfancentral.com,Webmail,AOL,aol.com
redskinshog.com,Webmail,AOL,aol.com
redskinsspecialteams.com,Webmail,AOL,aol.com
redskinsultimatefan.com,Webmail,AOL,aol.com
scoutmail.com,Webmail,AOL,aol.com
skins4life.com,Webmail,AOL,aol.com
aol.com,ISP,AOL,aol.com
aool.com,ISP,AOL,aol.com
acatperson.com,Webmail,AOL,aol.com
all4theskins.com,Webmail,AOL,aol.com
allsportsrock.com,Webmail,AOL,aol.com
descriptivemail.com,Webmail,AOL,aol.com
differentmail.com,Webmail,AOL,aol.com
easydoesit.com,Webmail,AOL,aol.com
hitthepuck.com,Webmail,AOL,aol.com
idigvideos.com,Webmail,AOL,aol.com
ilike2helpothers.com,Webmail,AOL,aol.com
ilike2invest.com,Webmail,AOL,aol.com
ilike2workout.com,Webmail,AOL,aol.com
ilikeworkingout.com,Webmail,AOL,aol.com
ilovehomeprojects.com,Webmail,AOL,aol.com
iloveourteam.com,Webmail,AOL,aol.com
iloveworkingout.com,Webmail,AOL,aol.com
love2exercise.com,Webmail,AOL,aol.com
love2workout.com,Webmail,AOL,aol.com
lovefantasysports.com,Webmail,AOL,aol.com
lovetoexercise.com,Webmail,AOL,aol.com
mail4me.com,Webmail,AOL,aol.com
webmail.aol.com,Webmail,AOL,aol.com
whatmail.com,Webmail,AOL,aol.com
when.com,Webmail,AOL,aol.com
wild4music.com,Webmail,AOL,aol.com
wildaboutelectronics.com,Webmail,AOL,aol.com
wmconnect.com,Webmail,AOL,aol.com
workingaroundthehouse.com,Webmail,AOL,aol.com
workingonthehouse.com,Webmail,AOL,aol.com
writesoon.com,Webmail,AOL,aol.com
aolmail.aol.com.br,ISP,AOL,aol.com
crazy4baseball.com,Webmail,AOL,aol.com
crazy4homeimprovement.com,Webmail,AOL,aol.com
crazy4mail.com,Webmail,AOL,aol.com
crazyaboutfilms.net,Webmail,AOL,aol.com
crazycarfan.com,Webmail,AOL,aol.com
crazyforemail.com,Webmail,AOL,aol.com
crazymoviefan.com,Webmail,AOL,aol.com
totallyintosports.com,Webmail,AOL,aol.com
aol.de,ISP,AOL,aol.de
aol.fr,ISP,AOL,aol.fr
aolchat.fr,ISP,AOL,aol.fr
aol.in,ISP,AOL,aol.in
solalto.edu.gt,Education,APDE,apde.edu.gt
webmail.apis.com.br,ISP,Apis,apis.com.br
apollo.lv,Webmail,SIA TV NET,apollo.tvnet.lv
onenet.com.ar,Webmail,Devel Net,apps.onenet.com.ar
appstate.edu,Education,Appalachian State University,appstate.edu
aprava.com,Paid,CryptoHeaven Corp.,aprava.com
arabou.edu.sa,Education,Arab Open University,arabou.edu.sa
aracer.com,Webmail,Firio Corporation,aracer.com
arcor.de,ISP,Vodafone GmbH,arcor.de
ardmore.net,ISP,"Ardmore Telephone Company,",ardmore.net
email.arizona.edu,Education,The University of Arizona,arizona.edu
stu.armstrong.edu,Education,Armstrong State University,armstrong.edu
zoominternet.net,ISP,Armstrong,armstrongonewire.com
armyspy.com,Disposable,Corban Works,armyspy.com
arnet.com.ar,ISP,Arnet,arnet.com.ar
hawaii.rr.com,ISP,Time Warner,aroundhawaii.com
webmail.artelecom.pt,ISP,AR Telecom,artelecom.pt
lamessagerie.com,Paid,Artepage,artepage.com
webmail.aruba.it,ISP,Aruba S.p.A.,aruba.it
webmaildominiold.aruba.it,Webmail,Aruba S.p.A.,aruba.it
aruba.it,Webmail,Aruba S.p.A.,aruba.it
mailrr.aruba.it,Webmail,Aruba.it,aruba.it
as.com,Webmail,"DIARIO AS, S.L.",as.com
as.edu.au,Education,The Armidale School,as.edu.au
ashlandcityschools.org,Education,Ashland City School District,ashlandcityschools.org
asia-mail.com,Fake,ASIA-MAIL.COM,asia-mail.com
mailasia.com,Webmail,asiamail.com,asiamail.com
aspemail.com,Webmail,Persits Software,aspemail.com
astound.net,ISP,WaveDivision Holdings,astound.com
asu.edu,Education,Arizona State University,asu.edu
asurfer.com,Webmail,aSurfer.com,asurfer.com
webmail.atelecom.com.br,ISP,A.Telecom,atelecom.com.br
atheist.com,Fake,ATHEIST.COM,atheist.com
atlanticbb.net,ISP,Atlantic Broadband,atlanticbb.net
webbasedemail.com,Paid,atmail,atmail.com
mail.fm,Webmail,Atmail,atmail.com
att.com,ISP,AT&T,att.com
bellsouth.com,ISP,AT&T,att.com
sbcglobakl.net,ISP,AT&T,att.com
sbcglobal.com,ISP,AT&T,att.com
sbcglobal.net,ISP,AT&T,att.com
sbcglofbal.net,ISP,AT&T,att.com
sbcgobal.net,ISP,AT&T,att.com
sc.rr.com,ISP,AT&T,att.com
scbglobal.net,ISP,AT&T,att.com
snet.net,ISP,AT&T,att.com
sbcglbal.net,ISP,AT&T,att.com
worldnet.att.net,ISP,AT&T,att.net
att.net,ISP,AT&T,att.yahoo.com
attglobal.net,ISP,AT&T,attglobal.net
auburn.edu,Education,Auburn University,auburn.edu
aucegypt.edu,Education,The American University in Cairo,aucegypt.edu
aum.edu,Education,Auburn University at Montgomery,aum.edu
westvic.com.au,ISP,Aussie Broadband Pty Ltd,aussiebroadband.com.au
aussiemail.com.au,Paid,Aussiemail,aussiemail.com.au
australiamail.com,Fake,AUSTRALIAMAIL.COM,australiamail.com
mail.austria.com,Webmail,Teleport Consulting & System Management,austria.com
avasmail.com.mv,Webmail,Avasmail,avasmail.com.mv
avc.edu,Education,Antelope Valley College,avc.edu
axarnet.com,ISP,Axarnet Comunicaciones,axarnet.es
email.azet.sk,Webmail,Azet.sk,azet.sk
azwildblue.com,ISP,WildBlue Internet Service,azwildblue.com
bahu.com,ISP,Bahu,bahu.com
baines.com,Paid,Baines.com,baines.com
baker.edu,Education,Baker College,baker.edu
bakpaka.com,ISP,Bakpaka.com,bakpaka.com
bardstowncable.net,ISP,Bardstown Cable Internet,bardstowncable.net
bathspa.ac.uk,Education,Bath Spa University,bathspa.ac.uk
baylor.edu,Education,Baylor University,baylor.edu
worldpath.net,ISP,BayRing,bayring.com
bc.edu,Education,Boston College,bc.edu
bctonline.com,ISP,BCT,bctelco.com
iname.ru,ISP,Beeline,beeline.ru
belizemail.net,Webmail,BelizeMail,belizemail.net
belizeweb.com,ISP,Belize Telemedia Limited,belizeweb.com
bell.net,ISP,Bell Canada,bell.ca
bellaliant.net,ISP,Bell Aliant,bellaliant.net
ns.sympatico.ca,ISP,Bell Aliant,bellaliant.net
bentley.edu,Education,Bentley University,bentley.edu
berklee.edu,Education,Berklee College of Music,berklee.edu
berlin.de,Webmail,Berlin.de,berlin.de
best.ac.nz,Education,BEST Pacific Institute of Education,best.ac.nz
bestweb.net,ISP,BestWeb Corporation,bestweb.net
bezeqint.net,ISP,Bezeq International,bezeqint.net
bgc.bard.edu,Education,The Bard Graduate Center,bgc.bard.edu
bigboss.cz,Webmail,SMS.cz,bigboss.cz
bigfoot.com,Webmail,Bigfoot,bigfoot.com
bigmir.net,ISP,bigmir) net,bigmir.net
students.billyblue.edu.au,Education,Billy Blue College of Design,billyblue.edu.au
binghamton.edu,Education,Binghamton University,binghamton.edu
bitwiser.com,ISP,Bitwise Solutions,bitwiseglobal.com
bizhosting.com,ISP,"United Online Web Services, Inc",bizhosting.com
polbox.com,ISP,Netia,biznes.netia.pl
webmail.bke.hu,Education,Corvinus University of Budapest,bke.hu
blackandchristian.com,Webmail,BlackandChristian.com,blackandchristian.com
stu.platteco.k12.mo.us,Education,Blackboard,blackboard.platteco.k12.mo.us
blackplanet.com,Webmail,Community Connect,blackplanet.com
blogs.rediff.com,Webmail,Rediff.com India Limited,blogs.rediff.com
bluebottle.com,Paid,Bluebottle Solutions Pty Ltd.,bluebottle.com
webmail.bluefrog.com,ISP,Blue Frog,bluefrog.com
bluewin.ch,ISP,Swisscom AG,bluewin.ch
bmi.net,ISP,Blue Mountain Internet,bmi.net
bne.catholic.edu.au,Education,Brisbane Catholic Education,bne.catholic.edu.au
bnin.net,ISP,Brightnet of Indiana,bnin.net
bright.net,ISP,Bright.net North,bnnorth.net
boarderzone.com,Webmail,Boarderzone,boarderzone.com
bogyoka.hu,Fake,,bogyoka.hu
bol.com.br,Webmail,Brazil Online,bol.uol.com.br
bollywood2000.com,Webmail,Bollywood2000.com,bollywood2000.com
boun.cr,Disposable,BOUNCR,boun.cr
boun.edu.tr,Education,Boğaziçi University,boun.edu.tr
box.az,Webmail,Box.az,box.az
webl-3.br.inter.net,ISP,Inter.net,br.inter.net
brandeis.edu,Education,Brandeis University,brandeis.edu
breakthru.com,Webmail,GlobalAlphabet,breakthru.com
breathe.com,ISP,Breathe Internet,breatheinternet.com
breede.co.za,ISP,BreedeNet,breede.co.za
bresnan.com,ISP,Bresnan Communications,bresnan.com
bresnan.net,ISP,Bresnan Communications,bresnan.com
cfl.rr.com,ISP,Bright House Networks,brighthouse.com
brite-mail.com,Paid,BrightLocal,brightlocal.com
broadstripe.net,ISP,Broadstripe,broadstripe.net
brookdale.edu,Education,Brookdale University Hospital & Medical Center,brookdalehospital.org
bryant.edu,Education,Bryant University,bryant.edu
bryantstratton.edu,Education,Bryant & Stratton College,bryantstratton.edu
bse.vic.edu.au,Education,Bendigo South East College,bse.vic.edu.au
bsu.edu,Education,Ball State University,bsu.edu
btconnect.com,ISP,British Telecommunications,btplc.com
btinternet.com,ISP,British Telecommunications,btplc.com
bu.edu,Education,Boston University,bu.edu
accesstoledo.com,ISP,"Buckeye Cablevision, Inc",buckeyecablesystem.com
bex.net,ISP,Buckeye Express High-Speed Internet,buckeyecablesystem.com
buffalo.edu,Education,University at Buffalo,buffalo.edu
bulloch.net,ISP,Bulloch Net,bulloch.net
burntmail.com,Paid,BurntMail,burntmail.com
business.smu.edu.sg,Education,Lee Kong Chian School of Business,business.smu.edu.sg
butler.edu,Education,Butler University,butler.edu
scfn.net,ISP,BuyDomains,buydomains.com
rette.net,ISP,Namemedia,buydomains.com
buzy.com,ISP,BUZY.com,buzy.com
byke.com,Webmail,Byke.com,byke.com
webmail.bynet.ca,ISP,ByNet California,bynet.ca
byom.de,Disposable,byom.de,byom.de
byui.edu,Education,Brigham Young University - Idaho,byui.edu
c2.hu,Webmail,c2 webmail,c2.hu
c3.hu,ISP,C³ Foundation,c3.hu
cableone.net,Paid,Cable ONE Inc,cableone.net
webmail.cabovisao.pt,ISP,Cabovisão,cabovisao.pt
webmail.netvisao.pt,ISP,Cabovisão,cabovisao.pt
cac.qld.edu.au,Education,Coomera Anglican College,cac.qld.edu.au
cairn.edu,Education,Cairn University,cairn.edu
calpoly.edu,Education,California Polytechnic State University,calpoly.edu
students.calvin.edu,Education,Calvin College,calvin.edu
cantab.net,Education,University of Cambridge,cam.ac.uk
canada-11.com,Webmail,canada-11.com,canada-11.com
cantv.net,Webmail,Cantv.net,cantv.net
carleton.ca,Education,Carleton University,carleton.ca
cmail.carleton.ca,Education,Carleton University,carleton.ca
carroll.edu,Education,Carroll College,carroll.edu
cartooners.com,Webmail,Cartooners,cartooners.com
my.fsu.edu,Education,Florida State University,cas.fsu.edu
case.edu,Education,Case Western Reserve University,case.edu
cbcfremantle.wa.edu.au,Education,CBC Fremantle,cbcfremantle.wa.edu.au
cbn.net.id,ISP,Cyberindo Aditama,cbn.net.id
email.ccbcmd.edu,Education,The Community College of Baltimore County,ccbcmd.edu
ccc.com,Webmail,Cole Computer Consulting,ccc.com
ull.edu.es,Education,ULL,ccti.ull.es
pogowave.com,ISP,CDS Enterprises,cds1.net
cen.edu.au,Education,Christian Education National,cen.edu.au
centoper.it,Webmail,Centoper,centoper.it
c-box.cz,Webmail,Centrum Holdings,centrum.cz
centrum.cz,Webmail,Centrum Holdings,centrum.cz
mail-atlas.net,Webmail,Centrum Holdings,centrum.cz
mail.atlas.cz,Webmail,Centrum Holdings,centrum.cz
mail.atlas.sk,Webmail,Centrum Holdings,centrum.cz
mail.volny.cz,Webmail,Centrum Holdings,centrum.cz
centrum.sk,Webmail,Centrum Holdings,centrum.sk
mebtel.net,ISP,CenturyLink,centurylink.net
centurylink.net,ISP,CenturyLink,centurylink.net
centurytel.net,ISP,CenturyLink,centurylink.net
embarqmail.com,ISP,CenturyLink,centurylink.net
dowstu.catholic.edu.au,Education,Catholic Education Office Sydney,ceosyd.catholic.edu.au
sydstu.catholic.edu.au,Education,Catholic Education Office Sydney,ceosyd.catholic.edu.au
cercaziende.it,Webmail,Bowebo,cercaziende.it
cgps.org,Education,Columbia Grammar and Preparatory School,cgps.org
chaiyo.com,Webmail,Chaiyo,chaiyo.com
chariot.net.au,ISP,Chariot,chariot.net.au
charter.net,ISP,Charter Communications,charter.net
chat.free.fr,Webmail,,chat.free.fr
cheerful.com,Fake,CHEERFUL.COM,cheerful.com
chef.net,Fake,CHEF.NET,chef.net
webmail.elkrapidsnet.com,ISP,Cherry Capital Connection,cherrycapitalconnection.com
chinamail.com,Fake,,chinamail.com
chmail.ir,Webmail,CHmail,chmail.ir
chooseyourmail.com,Webmail,Chooseyouremail,chooseyourmail.com
fioptics.com,ISP,Cincinnati Bell,cincinnatibell.com
fuse.net,ISP,Cincinnati Bell,cincinnatibell.com
citrommail.hu,Webmail,Citromail,citromail.hu
city10.com.br,ISP,City10 Telecom,city10.com.br
webmail.citycable.ch,ISP,Citycable,citycable.ch
mail.cityofcarrollton.com,Webmail,City of Carrollton,cityofcarrollton.com
cititrustbank1.cjb.net,Webmail,ICANN,cjb.net
clarkson.edu,Education,Clarkson University,clarkson.edu
intelnet.net.gt,ISP,Claro,claro.com.gt
itelgua.com,ISP,Claro,claro.com.gt
turbonett.com,Fake,,claro.com.gt
portafree.com,Webmail,Claro,clarofree.com
classicmail.co.za,Webmail,Classic FM,classicmail.co.za
cmich.edu,Education,Central Michigan University,cmich.edu
webmail2.cni.org.br,Webmail,Brazilian National Confederation of Industry,cni.org.br
cnm.edu,Education,Central New Mexico Community College,cnm.edu
k12coffee.net,Education,Coffee County Schools,coffeecountyschools.com
cogeco.ca,ISP,Cogeco,cogeco.ca
webmail.cogeco.ca,ISP,Cogeco,cogeco.ca
coldmail.com,Webmail,Coldmail,coldmail.com
coldmail.nu,Webmail,Coldmail.nu,coldmail.nu
colostate.edu,Education,Colorado State University,colostate.edu
columbia.edu,Education,Columbia University,columbia.edu
columbia.edu.pe,Education,Columbia,columbia.edu.pe
comcast.com,ISP,Comcast,comcast.com
mailcenter.comcast.net,Webmail,Comcast,comcast.net
comast.net,Fake,,comcast.net
comcast.neg,Typo,,comcast.net
comcast.ney,Typo,,comcast.net
webmail.people.net.au,ISP,M2 Commander Pty Ltd,commander.com
webmail.swiftel.com.au,ISP,M2 Commander Pty Ltd,commander.com
tastel.net.au,ISP,Community Telco,communitytelco.com.au
comporium.net,Webmail,Comporium,comporium.com
computer.net,Webmail,LANline Communications,computer.net
computhouse.com,ISP,Computhouse.com,computhouse.com
conevyt.org.mx,Education,CONEVyT,conevyt.org.mx
mail.be,Webmail,ContactOffice Group,contactoffice.com
mailfence.com,Paid,ContactOffice Group sa,contactoffice.com
cooljakarta.com,Webmail,CoolJakarta.com,cooljakarta.com
coolkiwi.com,Webmail,websites.co.nz,coolkiwi.com
coolrio.com,Webmail,Cool Rio,coolrio.com
coolyork.com,Webmail,Firio Corporation,coolyork.com
copticmail.com,Webmail,Coptic Orthodox Church,copticmail.com
cornell.edu,Education,Cornell,cornell.edu
correio.upis.br,Webmail,Horde,correio.upis.br
correo.juntadeandalucia.es,Webmail,Junta de Andalucia,correo.juntadeandalucia.es
cosmo.com,Webmail,Cosmo.com Inc,cosmo.com
cougars.com,Webmail,Tyche Technologies AG,cougars.com
couple.com,Webmail,World Accelerator,couple.com
cox.net,ISP,"Cox Communications,",cox.com
cse.unsw.edu.au,Education,School of Computer Science & Engineering,cse.unsw.edu.au
csuglobal.edu,Education,CSU-Global,csuglobal.edu
csupomona.edu,Education,"California State Polytechnic University, Pomona",csupomona.edu
student.curtin.edu.au,Education,Curtin University Australia,curtin.edu.au
cusd.claremont.edu,Education,Claremont Unified School District,cusd.claremont.edu
pcisys.net,ISP,PCI Broadband,customer.pcisys.net
seychelles.net,ISP,Cable & Wireless Seychelles,cwseychelles.com
cyryx.edu.mv,Education,Cyryx College,cyryxcollege.edu.mv
cytanet.com.cy,ISP,Cyta,cyta.com.cy
diu.edu.bd,Education,Daffodil International University,daffodilvarsity.edu.bd
dal.ca,Education,Dalhousie University,dal.ca
dragonfans.com,ISP,Dalces,dalces.com
mail.danworld.com,Webmail,"Danworld,",danworld.com
email.davenport.edu,Education,Davenport University,davenport.edu
davis.k12.ut.us,Education,Davis School District,davis.k12.ut.us
cadinfo.net,Paid,Digital Business Media,dbm.com.au
dcemail.com,Webmail,DCpages.com,dcpages.com
deakin.edu,Education,Deakin University,deakin.edu.au
deakin.edu.au,Education,Deakin University,deakin.edu.au
schools.sa.edu.au,Education,Government of South Australia - Department for Education and Child Development,decd.sa.gov.au
delfi.lt,Webmail,DELFI,delfi.lt
delfi.lv,Webmail,AS DELFI,delfi.lv
web.mail.demon.net,ISP,Demon,demon.net
despammed.com,Webmail,Despammed,despammed.com
detik.com,Webmail,detikcom,detik.com
devils.com,Webmail,Tyche Technologies,devils.com
di-ve.com,Webmail,Ilead Solutions,di-ve.com
dialrequest.com,Webmail,Dial Request,dialrequest.com
zoomshare.com,ISP,"DW Data, Inc",digitalwork.com
dir.bg,Webmail,Dir.bg,dir.bg
hulapla.de,Disposable,Appfield,discard.email
discardmail.com,Disposable,appfield.net,discard.email
teewars.org,Disposable,appfield.net,discard.email
0815.ru,Disposable,Discard.Email,discard.email
bund.us,Disposable,Discard.email,discard.email
s0ny.net,Disposable,Discard.email,discard.email
spambog.com,Disposable,Discard.email,discard.email
spambog.de,Disposable,Discard.email,discard.email
spambog.ru,Disposable,Discard.email,discard.email
dispostable.com,Disposable,Nova Group BV,dispostable.com
djis.edu.sa,Education,Dar Jana School,djis.edu.sa
webmail.dnet.it,ISP,Alpikom,dnet.it
111.com,Paid,DNS-NET Services GmbH,dns-net.ch
dr.com,Webmail,Doctor.com,doctor.com
doctors.org.uk,Webmail,Doctors.net.uk Limited,doctors.org.uk
dodgeit.com,Disposable,Dodgeit,dodgeit.com
dodo.com.au,ISP,Dodo,dodo.com
dodo.com,ISP,Dodo Services,dodo.com
domainmanager.com,ISP,Domain Manager,domainmanager.com
start.com.au,ISP,DomainNames.com.au,domainnames.com.au
dordt.edu,Education,Dordt College,dordt.edu
dostmail.com,Webmail,DostMail.com,dostmail.com
dot5hosting.com,ISP,Dot5Hosting,dot5hosting.com
dr-dre.com,Webmail,Dr. Dre,dr-dre.com
draac.com,ISP,Draac.Com,draac.com
drakestate.edu,Education,JF Drake State Technical College,drakestate.edu
email.bestdresses.com,Webmail,DressKing,dressking.com
dusty.tamiu.edu,Webmail,TAMIU,dusty.tamiu.edu
dutchmail.com,Fake,DUTCHMAIL.COM,dutchmail.com
dwmail.net,Fake,,dwmail.net
dyndns.org,Webmail,,dyn.com
e-mail.ph,Disposable,E-mail.ph,e-mail.ph
e-webtec.com,Webmail,e-webtec,e-webtec.com
earthling.net,Fake,EARTHLING.NET,earthling.net
gate.net,ISP,EarthLink,earthlink.net
pipeline.com,ISP,EarthLink,earthlink.net
mindspring.com,ISP,"EarthLink, Inc",earthlink.net
webmail.pas.earthlink.net,Webmail,"EarthLink,",earthlink.net
earthlink.com,ISP,"EarthLink,",earthlink.net
eastex.net,ISP,"Eastex Telephone Cooperative,",eastex.net
personainternet.com,ISP,Eastlink,eastlink.ca
eastlink.ca,ISP,Eastlink,eastlink.ca
easy.com,Webmail,easyGroup IP Licensing Ltd,easy.com
easyinfomail.co.za,Webmail,easyinfomail,easyinfomail.co.za
easypeasy.com,Webmail,easypeasy,easypeasy.com
dynamitemail.com,Fake,,easypic.com
eclub.lv,Webmail,eclub.lv,eclub.lv
ecomail.org,Webmail,Planetmind Internetworks,ecomail.org
staffmail.ecu.edu.au,Education,Edith Cowan University,ecu.edu.au
student.ednet.ns.ca,Education,Nova Scotia Department of Education and Early Childhood Development,ednet.ns.ca
webmail1.educacional.com.br,Education,Educational,educacional.com.br
eq.edu.au,Education,Queensland Government,education.qld.gov.au
edumail.co.za,Webmail,EDU-LOAN,edumail.co.za
edumax.edu.vn,Education,EduMax,edumax.edu.vn
ego.co.th,ISP,Internet Solution & Service Provider,ego.co.th
indigo.ie,ISP,eircom,eircom.net
eircom.net,ISP,eircom Limited,eircom.net
ekolay.net,Webmail,Hurriyet Newspaper and Printing Co,ekolay.net
elon.edu,Education,Elon University,elon.edu
email.bg,Webmail,VERAKS,email.bg
email.biz,Webmail,Guava Softs,email.biz
email.ee,Webmail,E-People,email.ee
email.it,Webmail,Email.it Srl,email.it
anymail.kify.com,Webmail,Kify Mail,email.kify.com
emailaddresses.com,Webmail,EmailAddresses.com,emailaddresses.com
emailasso.net,Webmail,EmailAsso.net,emailasso.net
emailchoice.com,Webmail,World Books,emailchoice.com
emailman.com,Webmail,eMailman,emailman.com
emailme.nu,Webmail,Emailme.nu,emailme.nu
emailn.de,Webmail,Emailn,emailn.de
emailpinoy.com,Webmail,Web Beacons,emailpinoy.com
emailsites.tripod.com,Webmail,Aaron Smith,emailsites.tripod.com
embroideryforums.com,Webmail,Embroidery Forums,embroideryforum.com
mail.emich.edu,Education,Eastern Michigan University,emich.edu
emirates.net.ae,ISP,Etisalat,emirates.net.ae
123.com,ISP,Empresa Nacional de Telecomunicaciones,entel.cl
enusmail.com,Paid,Hover,enusmail.com
mcrmail.com,Paid,Epik,epik.com
inbox.net,Paid,Epik Network,epik.com
episcopalacademy.org,Education,The Episcopal Academy,episcopalacademy.org
epost.cz,Webmail,ePost.cz,epost.cz
epost.de,Webmail,German Post AG,epost.de
eprompter.com,Webmail,"Tiburon Technology,",eprompter.com
ertelecom.ru,ISP,ER-Telecom,ertelecom.ru
esde-s.org,Education,School of Spanish in Sagunto,esdes.eu
connect.qut.edu.au,Education,Queensland University of Technology,esoe.qut.edu.au
estadao.com.br,Webmail,State Group,estadao.com.br
etb.net.co,ISP,ETB,etb.net.co
eim.ae,ISP,Etisalat,etisalat.ae
etllao.com,ISP,ETL Public Company,etllao.com
mailbox.gr,Webmail,Europlanet,europlanet.gr
canal21.com,ISP,Euskaltel,euskaltel.com
cybergap.net,ISP,EvenLink,evenlink.com
everest.edu,Education,Everest College,everest.edu
